name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Gliwice,2022-01-01,10.3,8.4,9.7,10.3,6.5,8.2,8.5,92.8,5.619,100,29.17,rain,0,0,39.6,19.2,263.1,1021.1,97.4,10.8,19,0.6,0,,2022-01-01T07:45:18,2022-01-01T15:52:41,0.95,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"12550099999,12540099999,11782099999,EPKT,F6525,12530099999,12560099999"
Gliwice,2022-01-02,10.6,6.8,8.7,10.6,4.4,6.9,6.1,84.5,0.174,100,4.17,rain,0,0,48,25.9,209.1,1018,91.5,18,47.2,1.5,1,,2022-01-02T07:45:12,2022-01-02T15:53:43,0,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"12550099999,12540099999,11782099999,EPKT,F6525,12530099999,12560099999"
Gliwice,2022-01-03,9.7,6.8,8.2,6.5,3.7,5.1,3.6,72.8,0.639,100,16.67,rain,0,0,53.8,26.5,232.3,1009.8,82.2,27.4,44.7,1.6,1,,2022-01-03T07:45:04,2022-01-03T15:54:48,0.02,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"12550099999,12540099999,11782099999,EPKT,F6525,12530099999,12560099999"
Gliwice,2022-01-04,10.4,5.6,7.6,10.4,2.8,4.8,5.4,86.5,2.427,100,33.33,rain,0,0,52.8,28,203.5,1000,91.5,21.1,34.7,1.1,1,,2022-01-04T07:44:52,2022-01-04T15:55:56,0.06,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"12550099999,12540099999,11782099999,EPKT,F6525,12530099999,12560099999"
Gliwice,2022-01-05,6.3,1.3,4,4.2,-3.2,1.2,2.4,89.4,2.289,100,33.33,rain,0,0,30.2,17.9,226,1000.6,93.7,15.2,23.2,0.8,1,,2022-01-05T07:44:37,2022-01-05T15:57:06,0.09,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,"12550099999,12540099999,11782099999,EPKT,F6525,12530099999,12560099999"
Gliwice,2022-01-06,2.2,-3.7,0.3,-2,-7.7,-4.2,-3.5,75.9,0.231,100,4.17,"rain,snow",0,0,72,24,256,1011.6,71.1,25,46.8,1.4,1,,2022-01-06T07:44:19,2022-01-06T15:58:18,0.12,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,rain,"12550099999,12540099999,11782099999,EPKT,F6525,12530099999,12560099999"
Gliwice,2022-01-07,1.6,-6.3,-2.8,-2.9,-9.8,-6.6,-8.7,66.2,0,0,0,,0,0,25.2,17.9,190.2,1020.7,45,20,65.1,1.9,1,,2022-01-07T07:43:57,2022-01-07T15:59:32,0.15,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12550099999,12540099999,11782099999,EPKT,F6525,12530099999,12560099999"
Gliwice,2022-01-08,-0.3,-5,-2.6,-4,-9.9,-6.5,-7.4,69.6,0,0,0,,0,0,39.6,16.7,187.4,1013.9,80.9,19.5,40.7,1.2,1,,2022-01-08T07:43:33,2022-01-08T16:00:48,0.19,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"12550099999,12540099999,11782099999,EPKT,F6525,12530099999,12560099999"
Gliwice,2022-01-09,2.6,-4,-0.6,-1,-8.5,-3.9,-5,72.8,0.006,100,4.17,snow,0,0,39.6,16.4,155.9,1005.4,70.8,15,63.7,2,1,,2022-01-09T07:43:06,2022-01-09T16:02:06,0.25,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,rain,"12550099999,12540099999,11782099999,EPKT,F6525,12530099999,12560099999"
Gliwice,2022-01-10,-0.2,-3.1,-1.6,-0.5,-6.6,-4.8,-4.5,80.5,0,0,0,,0,0,17.6,15.1,57.4,1018.7,91,8.9,77.3,2.5,2,,2022-01-10T07:42:35,2022-01-10T16:03:27,0.25,Overcast,Cloudy skies throughout the day.,cloudy,"12550099999,12540099999,11782099999,EPKT,F6525,12530099999,12560099999"
