name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Gliwice,2023-03-01T00:00:00,-4.1,-4.1,-5.8,88.07,0,0,,0,0,3.6,1.7,348,1031,0,5.6,,,,,Clear,clear-night,"12550099999,12540099999,11782099999,EPKT,12530099999,12560099999"
Gliwice,2023-03-01T01:00:00,-4.5,-4.5,-6.1,88.54,0,0,,0,0,7.2,3.5,81,1031,0,5.2,,,,,Clear,clear-night,"12550099999,12540099999,11782099999,EPKT,12530099999,12560099999"
Gliwice,2023-03-01T02:00:00,-4.9,-4.9,-6.1,90.88,0,0,,0,0,7.2,2,10,1030.9,0,4.3,,,,,Clear,clear-night,"12550099999,12540099999,11782099999,EPKT,12530099999,12560099999"
Gliwice,2023-03-01T03:00:00,-5.2,-5.2,-6.5,90.38,0,0,,0,0,7.2,1.6,314,1030.3,0,4.3,,,,,Clear,clear-night,"12550099999,12540099999,11782099999,EPKT,12530099999,12560099999"
Gliwice,2023-03-01T04:00:00,-5.4,-5.4,-6.6,91.45,0,0,,0,0,7.2,2.3,303,1030.3,0,3.9,,,,,Clear,clear-night,"12550099999,12540099999,11782099999,EPKT,12530099999,12560099999"
Gliwice,2023-03-01T05:00:00,-5.9,-5.9,-7,91.92,0,0,,0,0,3.6,1.3,26,1030.2,0,4.2,,,,,Clear,clear-night,"12550099999,12540099999,11782099999,EPKT,12530099999,12560099999"
Gliwice,2023-03-01T06:00:00,-6,-6,-6.9,93.55,0,0,,0,0,3.6,3.1,278,1030.2,0,3.8,,,,,Clear,clear-night,"12550099999,12540099999,11782099999,EPKT,12530099999,12560099999"
Gliwice,2023-03-01T07:00:00,-6.1,-6.1,-7.1,92.6,0,0,,0,0,5.6,2.8,334,1030.2,11.9,6.3,26,0.1,0,,Clear,clear-day,"12550099999,12540099999,11782099999,EPKT,F6525,12530099999,12560099999"
Gliwice,2023-03-01T08:00:00,-3.5,-3.5,-5,89.12,0,0,,0,0,7.2,4.3,43,1029.9,11.9,6.9,72,0.3,1,,Clear,clear-day,"12550099999,12540099999,11782099999,EPKT,F6525,12530099999,12560099999"
Gliwice,2023-03-01T09:00:00,-0.5,-0.5,-4.4,75.06,0,0,,0,0,7.2,1.9,6,1029.6,11.9,8.3,188,0.7,2,,Clear,clear-day,"12550099999,12540099999,11782099999,EPKT,F6525,12530099999,12560099999"
